comment_id,video_id,author_name_hash,comment_text,published_at,like_count,reply_count,parent_comment_id,language_detected,source,created_at
UgxpVzJkCiZquDu5xEN4AaABAg,0ssucYoYtYE,5b97195b13e8763f,Jeremy reviewing a Tesla car with a team of lawyers around him ensuring he doesn't get sued is just hilarious to me.,2022-08-22T05:39:59Z,5671,32,,en,youtube,2026-01-14T13:23:10.427932
UgxpVzJkCiZquDu5xEN4AaABAg.9f0jB9LBiDC9qxLpKMcs_i,0ssucYoYtYE,5d490211eda0e2c5,I mean they did out right slander the Roadster so 🤷🏻‍♂️,2023-06-14T19:06:55Z,112,0,UgxpVzJkCiZquDu5xEN4AaABAg,en,youtube,2026-01-14T13:23:10.428010
UgxpVzJkCiZquDu5xEN4AaABAg.9f0jB9LBiDC9rKVXgILEc3,0ssucYoYtYE,c3fbafba67e2b9e8,@banme2784we don’t have proof of that. All we can go off of is what Elon said. Plus with how he described the issue it could have just not been charged correctly or at all. Not to mention all vehicles do eventually have issues with some vehicles that are produced.,2023-06-24T04:13:32Z,86,0,UgxpVzJkCiZquDu5xEN4AaABAg,en,youtube,2026-01-14T13:23:10.428031
UgxpVzJkCiZquDu5xEN4AaABAg.9f0jB9LBiDC9rblpxC-OLm,0ssucYoYtYE,6d2540e374201b93,@banme2784the fact they weren’t found wrongdoing TWICE says something different,2023-07-01T06:31:02Z,66,0,UgxpVzJkCiZquDu5xEN4AaABAg,en,youtube,2026-01-14T13:23:10.428043
UgxpVzJkCiZquDu5xEN4AaABAg.9f0jB9LBiDC9rdo6-Dtn38,0ssucYoYtYE,a4c8f8d568bc6d23,@banme2784they didn’t slander the roadster u idiot rewatch the roadster vid again he gave a fair review 🤦🏽‍♂️,2023-07-02T01:29:19Z,0,0,UgxpVzJkCiZquDu5xEN4AaABAg,en,youtube,2026-01-14T13:23:10.428053
UgxpVzJkCiZquDu5xEN4AaABAg.9f0jB9LBiDC9sysYfDKXLW,0ssucYoYtYE,39f4b6be9ba5b591,@banme2784 no they didnt shut up,2023-08-04T02:23:38Z,14,0,UgxpVzJkCiZquDu5xEN4AaABAg,en,youtube,2026-01-14T13:23:10.428062
UgxDGDnyikCQErkc1ox4AaABAg,0ssucYoYtYE,ef8c6d08f615876a,"That wasn’t a team of lawyers, that was a group of people from the comments section.",2021-07-20T17:47:43Z,3814,15,,en,youtube,2026-01-14T13:23:10.428073
UgxDGDnyikCQErkc1ox4AaABAg.9Q1D505R3qX9QQZjYsFOKk,0ssucYoYtYE,cbfe6546be0be84b,"We must not jump to conclusions, until one has read every comment in every comment section...",2021-07-30T14:06:38Z,220,0,UgxDGDnyikCQErkc1ox4AaABAg,en,youtube,2026-01-14T13:23:10.428085
UgxDGDnyikCQErkc1ox4AaABAg.9Q1D505R3qX9Qk0i0kV5Ci,0ssucYoYtYE,bca5860e4af73c48,Are you defaming the comment section?,2021-08-07T12:44:39Z,111,0,UgxDGDnyikCQErkc1ox4AaABAg,en,youtube,2026-01-14T13:23:10.428094
UgxDGDnyikCQErkc1ox4AaABAg.9Q1D505R3qX9QkHGGsaqV3,0ssucYoYtYE,6505649c00ea1247,I don't think you should start questioning these lawyers' profession since you don't know them... Wait dammit. I am doing it,2021-08-07T15:09:16Z,44,0,UgxDGDnyikCQErkc1ox4AaABAg,en,youtube,2026-01-14T13:23:10.428103
